	Time (small)	Time (medium)	Time (large)
FirstUse	1.2621653079986572	57.80690550804138	661.2524883747101
Reuse	1.1259171962738037	61.59041142463684	676.0015213489532
MiniSAT	1.9289155006408691	181.52938413619995	1650.5393016338348
Clasp	1.9477565288543701	181.6911494731903	1581.878125667572
