Rules	Nodes	Transitions	mini(total)	mini(mean)	mini(median)	mini(std)	clasp(total)	clasp(mean)	clasp(median)	clasp(std)
45	51	84	1.9289155006408691	0.0185472644292	0.017613530159	0.00320253498872	1.9477565288543701	0.0187284281621	0.0179780721664	0.00239090937531
721	732	1435	181.52938413619995	0.123826319329	0.123470783234	0.00864427901326	181.6911494731903	0.123936664034	0.12276673317	0.00681089460092
2044	2328	4097	1650.5393016338348	0.354345062609	0.352860450745	0.02012873302	1581.878125667572	0.339604578288	0.336991071701	0.0147580206657
